"Date","Price","Open","High","Low","Vol.","Change %"
"04/09/2026","260.49","259.00","261.12","256.07","28.12M","0.61%"
"04/08/2026","258.90","258.45","259.75","256.53","41.03M","2.13%"
"04/07/2026","253.50","256.15","256.20","245.70","62.15M","-2.07%"
"04/06/2026","258.86","256.51","262.16","256.46","29.33M","1.15%"
"04/02/2026","255.92","254.20","256.13","250.65","31.29M","0.11%"
"04/01/2026","255.63","254.08","256.18","253.33","40.06M","0.73%"
"03/31/2026","253.79","247.91","255.48","247.10","49.60M","2.90%"
"03/30/2026","246.63","250.07","250.87","245.51","39.45M","-0.87%"
"03/27/2026","248.80","253.90","255.49","248.07","47.90M","-1.62%"
"03/26/2026","252.89","252.12","257.00","250.77","41.80M","0.11%"
"03/25/2026","252.62","254.10","255.00","251.60","28.48M","0.39%"
"03/24/2026","251.64","250.35","254.82","249.55","45.15M","0.06%"
"03/23/2026","251.49","253.97","254.60","250.28","40.55M","1.41%"
"03/20/2026","247.99","247.98","249.20","246.00","88.33M","-0.39%"
"03/19/2026","248.96","249.40","251.83","247.30","34.86M","-0.39%"
"03/18/2026","249.94","252.63","254.94","249.00","35.76M","-1.69%"
"03/17/2026","254.23","252.96","255.13","252.18","32.36M","0.56%"
"03/16/2026","252.82","252.10","253.88","249.88","32.07M","1.08%"
"03/13/2026","250.12","255.48","256.33","249.52","36.93M","-2.21%"
"03/12/2026","255.76","258.66","258.95","254.18","40.79M","-1.94%"
"03/11/2026","260.81","261.09","262.13","259.55","26.22M","-0.01%"
"03/10/2026","260.83","257.64","262.48","256.95","30.59M","0.37%"
"03/09/2026","259.88","255.69","261.15","253.68","38.22M","0.94%"
"03/06/2026","257.46","258.63","258.77","254.37","41.12M","-1.09%"
"03/05/2026","260.29","260.79","261.55","257.25","49.66M","-0.85%"
"03/04/2026","262.52","264.65","266.15","261.42","39.80M","-0.47%"
"03/03/2026","263.75","263.48","265.56","260.13","38.57M","-0.37%"
"03/02/2026","264.72","262.41","266.53","260.20","41.83M","0.20%"
"02/27/2026","264.18","272.81","272.81","262.89","72.37M","-3.21%"
"02/26/2026","272.95","274.95","276.11","270.80","32.35M","-0.47%"
